#Cu crystal, 4 shells                                     Feff 6.01l  potph 4.12
#Abs   Z=29 Rmt= 1.289 Rnm= 1.427 K shell
#Pot 1 Z=29 Rmt= 1.275 Rnm= 1.399
#Gam_ch=1.761E+00 H-L exch
#Mu=-5.493E+00 kf=1.793E+00 Vint=-1.774E+01 Rs_int= 2.023
#S02  1.000   Temp  190.00  Debye temp  315.00            Feff 6.01l ff2chi 2.01
#Curved wave amplitude ratio filter   4.000%
#   file           sig2  cw amp ratio   deg  nlegs  r effective
#feff0001.dat    0.00609    100.00     12.00     2   2.5527
#feff0002.dat    0.00748     22.99      6.00     2   3.6100
#feff0003.dat    0.00685     10.56     48.00     3   3.8290
#feff0004.dat    0.00756      8.67     48.00     3   4.3577
#feff0005.dat    0.00767     55.44     24.00     2   4.4213
#feff0006.dat    0.00772     10.61     48.00     3   4.7633
#feff0007.dat    0.00772     22.03     96.00     3   4.7633
#feff0008.dat    0.00775     18.96     12.00     2   5.1053
#feff0009.dat    0.00775      8.46     12.00     3   5.1053
#feff0010.dat    0.00775     43.81     24.00     3   5.1053
#feff0011.dat    0.00775      8.25     12.00     4   5.1053
#feff0014.dat    0.00775     32.88     12.00     4   5.1053
#  12/  14 paths used
#-------------------------------------------------------------------------------
#     k          chi          mag           phase @#
    10.9500   -2.747360E-03  2.929470E-03  4.205704E+01
    11.0000   -2.287854E-03  3.139270E-03  4.165725E+01
    11.0500   -2.939866E-03  4.491096E-03  4.155436E+01
    11.1000   -4.619718E-03  6.199414E-03  4.168152E+01
    11.1500   -6.951661E-03  7.945476E-03  4.190598E+01
    11.2000   -9.345575E-03  9.613742E-03  4.217475E+01
    11.2500   -1.113103E-02  1.114794E-02  4.246659E+01
    11.3000   -1.171043E-02  1.251366E-02  4.277174E+01
    11.3500   -1.069729E-02  1.368743E-02  4.308517E+01
    11.4000   -8.009484E-03  1.465301E-02  4.340399E+01
    11.4500   -3.897399E-03  1.539992E-02  4.372644E+01
    11.5000    1.098370E-03  1.592269E-02  4.405133E+01
    11.5500    6.249968E-03  1.622054E-02  4.437784E+01
    11.6000    1.078303E-02  1.629700E-02  4.470533E+01
    11.6500    1.402490E-02  1.615966E-02  4.503325E+01
    11.7000    1.552929E-02  1.581985E-02  4.536114E+01
    11.7500    1.515221E-02  1.529227E-02  4.568854E+01
    11.8000    1.306551E-02  1.459466E-02  4.601495E+01
    11.8500    9.707909E-03  1.374735E-02  4.633982E+01
    11.9000    5.686878E-03  1.277283E-02  4.666246E+01
    11.9500    1.654236E-03  1.169538E-02  4.698197E+01
    12.0000   -1.817237E-03  1.054063E-02  4.729716E+01
    12.0500   -4.417670E-03  9.497233E-03  4.760770E+01
    12.1000   -5.948416E-03  8.401614E-03  4.791057E+01
    12.1500   -6.412988E-03  7.277612E-03  4.820227E+01
    12.2000   -6.006738E-03  6.151716E-03  4.847715E+01
    12.2500   -5.052859E-03  5.055261E-03  4.872552E+01
    12.3000   -3.918489E-03  4.029671E-03  4.893014E+01
    12.3500   -2.930320E-03  3.138420E-03  4.906089E+01
    12.4000   -2.307842E-03  2.487722E-03  4.907730E+01
    12.4500   -2.127219E-03  2.218931E-03  4.898320E+01
    12.5000   -2.321114E-03  2.372038E-03  4.890227E+01
    12.5500   -2.711467E-03  2.794870E-03  4.893960E+01
    12.6000   -3.065125E-03  3.312242E-03  4.908341E+01
    12.6500   -3.157854E-03  3.822709E-03  4.929337E+01
    12.7000   -2.831472E-03  4.276730E-03  4.954191E+01
    12.7500   -2.031504E-03  4.650243E-03  4.981338E+01
    12.8000   -8.181359E-04  4.931929E-03  5.009883E+01
    12.8500    6.501549E-04  5.117656E-03  5.039287E+01
    12.9000    2.154608E-03  5.207918E-03  5.069202E+01
    12.9500    3.465634E-03  5.206520E-03  5.099383E+01
    13.0000    4.391649E-03  5.119805E-03  5.129641E+01
    13.0500    4.892250E-03  5.032206E-03  5.159988E+01
    13.1000    4.866681E-03  4.876945E-03  5.190117E+01
    13.1500    4.359174E-03  4.662053E-03  5.219872E+01
    13.2000    3.488317E-03  4.396915E-03  5.249078E+01
    13.2500    2.417058E-03  4.092210E-03  5.277521E+01
    13.3000    1.316296E-03  3.759904E-03  5.304941E+01
    13.3500    3.306492E-04  3.413346E-03  5.331005E+01
    13.4000   -4.461541E-04  3.067453E-03  5.355304E+01
    13.4500   -9.816515E-04  2.738921E-03  5.377364E+01
    13.5000   -1.299874E-03  2.446161E-03  5.396732E+01
    13.5500   -1.464124E-03  2.208240E-03  5.413193E+01
    13.6000   -1.552725E-03  2.041674E-03  5.427118E+01
